"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"S1","SW_MULTI_TH","15.9mm","2.55mm","15.9mm","2.6mm","17.7mm","1mm","T","0.00","BUTTON"
"P1","USBMICRO-DUAL_HIROSE_DUAL_SIDED","5.6mm","3mm","5.6mm","3.4mm","6.9mm","4.6mm","T","0.00","USB micro"
"D5","SOD523","8mm","6.8mm","8mm","6.8mm","8mm","6mm","T","270.00","DIODE"
"D1","SOD128","11.1mm","17mm","11.1mm","17mm","11.1mm","14.8mm","T","270.00","Diode"
"R8","R0603","15.4mm","21.3mm","15.4mm","21.3mm","15.4mm","22.05mm","T","270.00","RES"
"R7","R0603","7.5mm","16.9mm","7.5mm","16.9mm","6.75mm","16.9mm","T","360.00","RES"
"R9","R0603","12.1mm","12.9mm","12.1mm","12.9mm","11.35mm","12.9mm","T","360.00","RES"
"BT1","JST-DUAL-BATT_-_2MM_3_5MM","3mm","15.1mm","3mm","17.6mm","3mm","17.6mm","T","270.00","JST connector"
"C1","C0603","7.2mm","8.9mm","7.2mm","8.9mm","8mm","8.9mm","T","180.00","CAP"
"C2","C0603","6.5mm","14.8mm","6.5mm","14.8mm","7.3mm","14.8mm","T","180.00","CAP"
"C4","C0603","19.4mm","15mm","19.4mm","15mm","19.4mm","15.8mm","T","270.00","CAP"
"C5","C0603","18.3mm","21.6mm","18.3mm","21.6mm","18.3mm","20.8mm","T","90.00","CAP"
"C7","C0603","19.4mm","18mm","19.4mm","18mm","19.4mm","18.8mm","T","270.00","CAP"
"D2","0805_[2012]_LED","9.8mm","10.5mm","9.8mm","10.5mm","9.8mm","9.5mm","T","90.00","LED"
"D3","0805_[2012]_LED","11.2mm","21.5mm","11.2mm","21.5mm","10.2mm","21.5mm","T","360.00","LED"
"R1","R0603","12.1mm","11.5mm","12.1mm","11.5mm","12.85mm","11.5mm","T","180.00","RES"
"R3","R0603","9.6mm","7.4mm","9.6mm","7.4mm","9.6mm","8.15mm","T","270.00","RES"
"R4","R0603","13.8mm","21.3mm","13.8mm","21.3mm","13.8mm","20.55mm","T","90.00","RES"
"R5","R0603","19.4mm","12.1mm","19.4mm","12.1mm","19.4mm","11.35mm","T","90.00","RES"
"U1","SOT-23-5","7.15mm","11.9mm","8.1mm","13.1mm","8.1mm","13.1mm","T","180.00","Charger"
"U2","8-SOIC-5.3MM","16mm","15.5mm","16mm","15.5mm","17.905mm","18.9mm","T","180.00","MCU"
"R2","R0603","12.1mm","9.9mm","12.1mm","9.9mm","12.85mm","9.9mm","T","180.00","RES"
"D4","SOD523","19.7mm","20.9mm","19.7mm","20.9mm","19.7mm","20.1mm","T","270.00","DIODE"
"Q1","SOT-23-6","7.2999mm","20.1mm","7.3mm","20.1mm","6.3499mm","18.65mm","T","0.00","2x PMOS"

